it's chilly,il fait frais
we're up for it,on est partants
to furnish,aménager
radiant,rayonnant
to ruffle,froisser
the roofs,les toits
an escape,une évasion
thankful,reconnaissant
a damage,un dégât
to land,débarquer
it's their charm,c’est leur kiff
lightweight,léger
to show off,te la peter
you will be the first to know,tu seras le premier au courant
I was joking,je rigolais
to leave,se peter
start up,démarrer
to deliver/issue,délivrer
to rent,louer
the back,l'arrière
to attract,attirer
to do somersaults (sexually),Faire des galipettes
trash can,poubelle
lies,les mensonges
